FDID, Fire dept name, HQ addr1, HQ addr2, HQ city, HQ state, HQ zip, Mail addr1, Mail addr2, Mail PO box, Mail city, Mail state, Mail zip, HQ phone, HQ fax, County, Dept Type, Organization Type, Website, Number Of Stations, Active Firefighters - Career, Active Firefighters - Volunteer, Active Firefighters - Paid per Call, Non-Firefighting - Civilian, Non-Firefighting - Volunteer, Primary agency for emergency mgmt
"01307","Jackson Park Volunteer Fire Department","36 Green ST SW","","Concord","NC","28027","128 Green ST SW","","","Concord","NC","28027","704-786-7811","704-793-4461","Cabarrus","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","35","0","0","0",""
"06603","Jackson Volunteer Fire Department Inc.","102 Depot ST","","Jackson","NC","27845","","","PO Box 545","Jackson","NC","27845-0545","252-536-1915","252-534-9937","Northampton","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","0","25","0","0","0","No"
"06710","Jacksonville Fire and Emergency Services","200 Marine BLVD","","Jacksonville","NC","28540","","","PO Box 128","Jacksonville","NC","28541-0128","910-455-8080","910-455-4036","Onslow","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","","4","87","0","0","1","1","Yes"
"07916","Jacobs Creek Fire Tax District, Inc.","2250 NC Highway 704","","Madison","NC","27025","2250 NC Highway 704","","","Madison","NC","27025-7836","336-427-8888","336-548-1673","Rockingham","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","24","0","0","12","No"
"04006","Jason Volunteer Fire Department","6846 Highway 903 S","","La Grange","NC","28551-8377","6846 Highway 903 S","","","La Grange","NC","28551-8366","252-566-5821","","Greene","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","27","0","0","0","Yes"
"00502","Jefferson Volunteer Fire Department","205 Northwest DR","","Jefferson","NC","28640","","","PO Box 97","Jefferson","NC","28640","336-246-9149","336-246-2923","Ashe","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","24","0","0","0",""
"03021","Jerusalem Fire Department","7185 NC Highway 801 S","","Mocksville","NC","27028","232 Oakdale CIR","","","Mocksville","NC","27028-6744","336-284-2790","","Davie","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","24","0","0","2","No"
"05100","Johnston County Emergency Services","120 S 3RD ST","","Smithfield","NC","27577","","","PO Box 530","Smithfield","NC","27577-0530","919-989-5050","919-989-5052","Johnston","Career","Other","https://www.johnstonnc.com/","1","90","0","0","5","0","Yes"
"01258","Jonas Ridge Volunteer Fire Department and Service Center","6680 Dogwood Knob RD","","Jonas Ridge","NC","28641","","","PO Box 31","Jonas Ridge","NC","28641-0031","828-733-1330","828-733-1330","Burke","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","0","22","0","1","0","Yes"
"04413","Jonathan Creek Volunteer Fire Department","47 Joe Carver RD","","Waynesville","NC","28785","","","PO Box 158","Waynesville","NC","28786-0158","828-926-3579","828-926-6069","Haywood","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","30","0","0","20","No"
"08666","Jot-Um-Down Volunteer Fire Department","1091 Dobbins Mill RD","","Elkin","NC","28621","1091 Dobbins Mill RD","","","Elkin","NC","28621-8177","336-366-2820","336-366-2820","Surry","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","45","0","0","0",""
"04113","Julian Fire & Rescue, Inc.","4317 Folger RD","","Julian","NC","27263","4317 Folger RD","","","Julian","NC","27283-8008","336-685-4201","","Randolph","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","3","0","18","1","0","No"
"04407","Junaluska Community Volunteer Fire Department","90 Old Clyde RD","","Lake Junaluska","NC","28745","","","PO Box 245","Clyde","NC","28721-0245","828-452-4404","","Haywood","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","1","29","0","0","0",""
"01110","Jupiter Volunteer Fire Department","331 Jupiter RD","","Weaverville","NC","28787","331 Jupiter RD","","","Weaverville","NC","28787","828-645-7624","828-658-2122","Buncombe","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","12","20","0","0","15",""
"01309","Kannapolis Fire Department","401 Laureate WAY","3rd Floor - Fire Department","Kannapolis","NC","28081","401 Laureate WAY","3rd Floor - Fire Department","","Kannapolis","NC","28081-0005","704-920-4260","704-920-4262","Cabarrus","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.kannapolisnc.gov/Fire","5","91","0","0","24","0","Yes"
"00905","Kelly Volunteer Fire Department, Inc.","18628 NC HWY 53 E","","Kelly","NC","28448","","","PO Box 39","Kelly","NC","28448","910-669-2898","","Bladen","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","21","0","0","0",""
"03107","Kenansville Fire Department","105 W Hill ST","","Kenansville","NC","28349","","","PO Box 946","Kenansville","NC","28349-0946","910-296-1878","910-296-6533","Duplin","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","0","35","0","0","8","No"
"05114","Kenly Volunteer Fire Department, Inc.","101 W 1ST ST","","Kenly","NC","27542","","","PO Box 868","Kenly","NC","27542-0868","919-284-4441","919-284-3414","Johnston","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","1","30","0","0","0","No"
"03408","Kernersville Fire Rescue Department","1180 NC Highway 66 S","","Kernersville","NC","27284","","","PO Box 728","Kernersville","NC","27285-0728","336-996-4885","","Forsyth","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.toknc.com/","5","87","0","5","1","0","No"
"02804","Kill Devil Hills Fire Department","1630 N Croatan HWY","","Kill Devil Hills","NC","27948","","","PO Box 1719","Kill Devil Hills","NC","27948-1719","252-480-4060","","Dare","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.kdhnc.com/938/Fire-Department","1","20","17","0","1","4","No"
"01406","Kings Creek Volunteer Fire Department Inc.","3420 Wilkesboro BLVD","","Lenoir","NC","28645","3420 Wilkesboro BLVD","","","Lenoir","NC","28645-7685","828-758-2017","828-758-2093","Caldwell","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.facebook.com/profile.php?id=100068347546379","1","0","28","5","0","0","No"
"02310","Kings Mountain Fire Department","106 Spruce ST","","Kings Mountain","NC","28086","106 Spruce ST","","PO Box 429","Kings Mountain","NC","28086","704-734-0555","704-734-4468","Cleveland","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.kmfire.com","2","8","24","6","0","0",""
"05402","Kinston Department of Fire & Rescue","401 E Vernon AVE","","Kinston","NC","28502","","","PO Box 339","Kinston","NC","28502-0339","252-939-3164","252-939-3157","Lenoir","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","http://nc-kinston.civicplus.com/167/Fire-Rescue","3","50","0","0","1","0","No"
"09230","Knightdale Public Safety Fire Division","950 Steeple Square CT","","Knightdale","NC","27545","950 Steeple Square CT","","","Knightdale","NC","27545","919-217-2271","919-217-2269","Wake","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.knightdalenc.gov/index.aspx?page=232","1","7","25","20","0","0",""
"06503","Kure Beach Fire Department","608 K AVE","","Kure Beach","NC","28449","608 K AVE","","","Kure Beach","NC","28449-3815","910-458-7586","910-458-9882","New Hanover","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","22","0","0","0",""
"02611","Lafayette Village Fire Department","6701 Bailey Lake RD","","Fayetteville","NC","28304","6701 Bailey Lake RD","","","Fayetteville","NC","28304","910-425-2207","910-426-0307","Cumberland","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://fire.ci.fayetteville.nc.us/fire_stations/station_17.aspx","2","13","18","0","0","3",""
"05434","LaGrange Fire Department","119 E Railroad ST","PO Box 603","La Grange","NC","28551","","","PO Box 603","La Grange","NC","28551","252-566-4515","252-566-6991","Lenoir","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","33","0","0","0",""
"04415","Lake Logan Cecil Volunteer Fire Department","4291 Lake Logan RD","","Canton","NC","28716","4291 Lake Logan RD","","","Canton","NC","28716","828-648-4406","828-648-4406","Haywood","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","30","0","0","10",""
"04904","Lake Norman Volunteer Fire Department","1518 Brawley School RD","","Mooresville","NC","28117-5932","1518 Brawley School RD","","","Mooresville","NC","28117-5932","704-664-2468","704-660-6925","Iredell","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","34","25","0","4",""
"09402","Lake Phelps Volunteer Fire Department","9606 Newland RD","","Creswell","NC","27928","9606 Newland RD","","","Creswell","NC","27928","252-797-4259","","Washington","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","29","0","0","0",""
"02612","Lake Rim Volunteer Fire Department","7690 Raeford RD","","Fayetteville","NC","28304","7690 Raeford RD","","","Fayetteville","NC","28304","910-867-0832","910-867-1369","Cumberland","Mostly volunteer","Contract fire department","","1","13","40","0","0","0",""
"06210","Lake Tillery Fire & Rescue, Inc.","7913 NC Highway 73 W","","Mount Gilead","NC","27306","7913 NC Highway 73 W","","","Mount Gilead","NC","27306-9082","910-439-1010","910-439-8993","Montgomery","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","2","28","0","0","4","No"
"08808","Lake Toxaway Fire Rescue, Inc.","850 Blue Ridge RD","","Lake Toxaway","NC","28747","","","PO Box 35","Lake Toxaway","NC","28747-0035","828-966-4900","828-966-4921","Transylvania","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","4","0","37","0","0","No"
"08058","Landis Fire Department","136 N Central AVE","","Landis","NC","28088","","","PO Box 8165","Landis","NC","28088-8165","704-855-1269","704-855-3932","Rowan","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://townoflandisnc.gov/departments/public-safety/fire-department/","2","10","0","4","0","0","No"
"09007","Lanes Creek Volunteer Fire Department","7608 Landsford RD","","Monroe","NC","28112","7608 Landsford RD","","","Monroe","NC","28112-9418","704-764-3900","704-764-8567","Union","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","www.lanescreekfire.com","1","0","22","10","0","0","Yes"
"00503","Lansing Volunteer Fire Rescue Department","9281 NC HWY 194 N","","Lansing","NC","28643-9533","","","PO Box 176","Lansing","NC","28643-0176","336-384-4545","336-384-9060","Ashe","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","36","0","0","0",""
"06609","Lasker Volunteer Fire Department","112 W Church ST","","Lasker","NC","27845","112 W Church ST","","","Lasker","NC","27845-9629","252-539-2924","252-539-2924","Northampton","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","28","0","0","0",""
"08305","Laurel Hill Fire Department, Inc.","9400 Old Wire RD","","Laurel Hill","NC","28351","","","PO Box 858","Laurel Hill","NC","28351-0858","910-462-2434","910-462-3230","Scotland","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","29","0","6","8",""
"00304","Laurel Springs Volunteer Fire Department","12509 HWY 18 S","PO Box 21","Laurel Springs","NC","28644","","","PO Box 21","Laurel Springs","NC","28644-0021","336-359-8193","336-359-2328","Alleghany","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","24","0","0","18","No"
"08303","Laurinburg Fire Department","501 N Main ST","","Laurinburg","NC","28352","","","PO Box 249","Laurinburg","NC","28353-0249","910-276-1811","910-276-1811","Scotland","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","www.cityoflaurinburg.org/fire","3","7","0","28","0","2","No"
"02311","Lawndale Volunteer Fire Department","111 Richard ST","","Lawndale","NC","28090","","","PO Box 256","Lawndale","NC","28090-0256","704-538-6700","704-538-6740","Cleveland","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","22","0","0","0","No"
"08504","Lawsonville Volunteer Fire Department","1013 Fire Rescue LN","","Danbury","NC","27016","","","PO Box 9","Lawsonville","NC","27022-0009","336-593-8212","","Stokes","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","38","0","0","0","No"
"07917","Leaksville Volunteer Fire Department","146 Beddingfield RD","","Eden","NC","27288","146 Beddingfield RD","","","Eden","NC","27288-7513","336-623-9020","336-623-3347","Rockingham","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","3","25","0","0","0","No"
"01710","Leasburg Volunteer Fire Department","5783 NC Highway 119 N","","Leasburg","NC","27291","","","PO Box 14","Leasburg","NC","27291-0014","336-694-5411","336-694-5411","Caswell","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","28","0","0","0",""
"03204","Lebanon Volunteer Fire Department","7900 Russell RD","","Durham","NC","27712-9104","7900 Russell RD","","","Durham","NC","27712-9104","919-477-4687","919-479-7192","Durham","Mostly volunteer","Contract fire department","","1","12","20","20","0","0",""
"06108","Ledger Volunteer Fire Department","5165 S 226 HWY","","Bakersville","NC","28705","5165 S 226 HWY","","","Bakersville","NC","28705-7259","828-688-9072","828-688-4443","Mitchell","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","23","0","0","2","No"
"01111","Leicester Volunteer Fire Department","1563 Alexander RD","","Leicester","NC","28748","","","PO Box 100","Leicester","NC","28748-0100","828-683-3433","000-000-0000","Buncombe","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.leicesterfire.com","3","16","15","0","1","9","No"
"01407","Lenoir Fire Dept","602 Harper AVE NW","","Lenoir","NC","28645","602 Harper AVE NW","","","Lenoir","NC","28645-5081","828-757-2191","","Caldwell","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.cityoflenoir.com/191/Codes-Inspections","3","63","0","0","0","0","Yes"
"07608","Level Cross Voluntary Fire Department, Inc.","125 Branson Mill RD","","Randleman","NC","27317","125 Branson Mill RD","","","Randleman","NC","27317-8006","336-362-9154","336-498-7141","Randolph","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","lcfd43.org","1","2","0","15","0","2","No"
"00805","Lewiston Woodville Volunteer Fire Department, Inc","103 W Church ST","","Lewiston Woodville","NC","27849","","","PO Box 395","Lewiston Woodville","NC","27849-0395","252-348-2689","252-348-2695","Bertie","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","27","0","0","5","No"
"03409","Lewisville Fire Department","216 Lewisville Clemmons RD","","Lewisville","NC","27023","216 Lewisville Clemmons RD","","","Lewisville","NC","27023-9494","336-945-5983","","Forsyth","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.lewisvillefire.com","2","15","25","10","1","20","Yes"
"02908","Lexington Fire Department","200 E Center ST","","Lexington","NC","27292","28 W Center ST","","","Lexington","NC","27292-3316","336-248-3935","336-248-3994","Davidson","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.lexingtonnc.gov/city-services/fire","4","52","0","0","2","0","Yes"
"07609","Liberty Fire Department","515 W Swannanoa AVE","","Liberty","NC","27298","515 W Swannanoa AVE","","","Liberty","NC","27298-3136","336-622-9050","336-622-6643","Randolph","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","1","21","0","0","0",""
"00404","Lilesville Fire Department","202 W Wall ST","","Lilesville","NC","28091","","","PO Box 451","Lilesville","NC","28091-0451","704-848-4194","704-848-4440","Anson","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","2","25","25","0","4","Yes"
"04311","Lillington Fire Department","823 S Main ST","","Lillington","NC","27546","","","PO Box 296","Lillington","NC","27546-0296","910-893-9342","910-814-1770","Harnett","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://lillingtonnc.org/index.asp?SEC=6E30DBFF-86AB-4DD5-9ED6-248A663FEC4C&Type=B_BASIC","1","5","12","0","0","0","No"
"05506","Lincolnton Fire Department","116 W Sycamore ST","","Lincolnton","NC","28092","116 W Sycamore ST","","","Lincolnton","NC","28092","704-736-8920","704-736-8929","Lincoln","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","http://www.ci.lincolnton.nc.us/","2","24","0","18","1","0","No"
"00606","Linville Volunteer Fire Department","590 NC 105 HWY","PO Box 274","Linville","NC","28646","590 NC 105 HWY","","PO Box 274","Linville","NC","28646","828-733-2188","828-733-4096","Avery","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","2","25","0","0","0",""
"02909","Linwood Rural Fire Department","4297 Old Linwood RD","","Lexington","NC","27292","","","PO Box 4297 Old Linwood RD","Linwood","NC","27292-7753","336-956-2040","336-956-1343","Davidson","Mostly volunteer","Contract fire department","","1","3","21","0","0","0","Yes"
"09722","Little Brushy Mountain Volunteer Fire Department","2772 Mount Sinai RD","","Wilkesboro","NC","28697","2772 Mount Sinai RD","","","Wilkesboro","NC","28697-8289","336-984-2519","336-984-2519","Wilkes","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","22","0","0","0","No"
"09615","Little River Volunteer Fire Department","622 Gurley Dairy RD","","Pikeville","NC","27863","622 Gurley Dairy RD","","PO Box ","Pikeville","NC","27863","919-735-2146","","Wayne","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","30","0","0","0",""
"01408","Little River Volunteer Fire Department","4800 Oakhill School RD","","Lenoir","NC","28645-9233","4800 Oakhill School RD","","","Lenoir","NC","28645-9233","828-754-9505","828-754-8526","Caldwell","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","1","0","33","0","0","No"
"08811","Little River Volunteer Fire Department","Crab Creek RD","PO Box 241","Penrose","NC","28766","Crab Creek RD","","PO Box 241","Penrose","NC","28766","828-884-5533","828-884-8911","Transylvania","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","36","0","0","3",""
"02511","Little Swift Creek Volunteer Fire Department","Aurora RD","PO Box 68","Ernul","NC","28527","","","PO Box 68","Ernul","NC","28527-0068","252-244-2144","252-244-2144","Craven","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","4","0","54","0","0","0",""
"08061","Locke Township Fire Department","5405 Mooresville RD","","Salisbury","NC","28147","5405 Mooresville RD","","","Salisbury","NC","28147-7660","704-633-7285","704-633-7297","Rowan","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.lockefire.com/","3","3","50","0","0","5","No"
"08409","Locust Volunteer Fire Department, Inc.","212 S Central AVE","","Locust","NC","28097","212 S Central AVE","","","Locust","NC","28097-7139","704-888-2033","","Stanly","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","48","0","0","6",""
"09924","Lone Hickory Volunteer Fire Department","3200 Lone Hickory RD","","Yadkinville","NC","27055-6257","3200 Lone Hickory RD","","","Yadkinville","NC","27055-6257","336-463-5468","336-463-5435","Yadkin","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","10","0","0","0",""
"09313","Long Bridge Volunteer Fire Department","1678 Eaton Ferry RD","","Littleton","NC","27850","1678 Eaton Ferry RD","","","Littleton","NC","27850","252-586-2480","252-586-2480","Warren","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","22","0","0","0",""
"07104","Long Creek Grady Volunteer Fire Department, Inc.","227 Scott RD","","Rocky Point","NC","28457","227 Scott RD","","","Rocky Point","NC","28457","910-675-8460","910-675-2140","Pender","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","40","0","0","0",""
"06012","Long Creek Volunteer Fire Department","6809 Beatties Ford RD","","Charlotte","NC","28216","","","PO Box 680728","Charlotte","NC","28216-0013","704-394-3166","","Mecklenburg","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","1","25","0","0","No"
"01808","Long View Fire Department","2404 1ST AVE SW","","Hickory","NC","28602","2404 1ST AVE SW","","","Hickory","NC","28602-2009","828-322-1311","828-322-6982","Catawba","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.ci.longview.nc.us/fire-department","1","12","0","8","0","1","No"
"03507","Louisburg Fire Department","102 Wade AVE","","Louisburg","NC","27549","102 Wade AVE","","","Louisburg","NC","27549-2648","919-496-4290","919-496-6668","Franklin","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","6","35","0","0","1","No"
"01263","Lovelady Volunteer Fire & Rescue Department Inc","748 Malcolm BLVD","","Rutherford College","NC","28671","","","PO Box 126","Rutherford College","NC","28671-0126","828-879-9801","","Burke","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","0","34","0","0","0","No"
"03615","Lowell Volunteer Fire Department","202 Groves ST","","Lowell","NC","28098","","","PO Box 327","Lowell","NC","28098","704-824-3357","704-824-4993","Gaston","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","28","0","0","0",""
"02703","Lower Currituck Volunteer Fire Department, Inc.","6323 Caratoke HWY","","Grandy","NC","27939","","","PO Box 207","Grandy","NC","27939-0207","252-453-2761","252-453-4579","Currituck","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","3","0","23","0","1","0","No"
"03616","Lucia Riverbend Volunteer Fire Department","14124 Lucia Riverbend HWY","","Mount Holly","NC","28120-9727","14124 Lucia Riverbend HWY","","","Mount Holly","NC","28120-9727","704-827-5206","704-827-0887","Gaston","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","33","0","0","0",""
"07809","Lumber Bridge Volunteer Fire Department","303 W Main ST","","Lumber Bridge","NC","28357","","","PO Box 490","Lumber Bridge","NC","28357-0490","910-843-7512","910-843-7512","Robeson","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","32","0","0","1","No"
"07810","Lumberton Fire Department","600 N Cedar ST","","Lumberton","NC","28358","","","PO Box 924","Lumberton","NC","28359-0924","910-671-3860","910-671-3921","Robeson","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","","3","53","2","0","1","0","No"
"03303","Macclesfield Rural Volunteer Fire Department","410 E Green ST","","Macclesfield","NC","27852","","","PO Box 449","Macclesfield","NC","27852-0449","252-827-5344","252-827-5344","Edgecombe","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","25","0","0","0","No"
"09307","Macon Rural Fire Department","1644 US Highway 158 E","","Macon","NC","27551","","","PO Box 103","Macon","NC","27551-0103","252-257-4200","252-257-4200","Warren","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","19","0","0","0","No"
"07903","Madison Fire Department","107 N Wilson ST","","Madison","NC","27025","120 N Market ST","","","Madison","NC","27025-1918","336-427-4495","336-427-4430","Rockingham","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","madisonfiredept.com","1","0","0","21","0","0","No"
"04408","Maggie Valley Fire & Rescue, Inc.","2925 Soco RD","","Maggie Valley","NC","28751","2925 Soco RD","","","Maggie Valley","NC","28751-9501","828-926-0948","828-926-6237","Haywood","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","6","31","0","1","8","No"
"03108","Magnolia Volunteer Fire Department, Inc.","110 Taylor ST","","Magnolia","NC","28453","","","PO Box 547","Magnolia","NC","28453-0547","910-284-5284","910-289-4722","Duplin","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","34","0","0","2",""
"01809","Maiden Fire Department","110 W Main ST","","Maiden","NC","28650","19 N Main AVE","","","Maiden","NC","28650-1322","828-428-5028","828-428-1473","Catawba","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","7","0","28","0","0","No"
"02811","Mann's Harbor Fire Department","6677 US Highway 64","","Manns Harbor","NC","27953","","","PO Box 165","Manns Harbor","NC","27953-0165","252-423-3046","","Dare","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","21","0","0","0","Yes"
"09616","Mar-Mac Volunteer Fire Department, Inc.","583 Old Grantham RD","","Goldsboro","NC","27530-8519","583 Old Grantham RD","","","Goldsboro","NC","27530-8519","919-222-5033","919-739-3863","Wayne","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://marmacfiredept.com/","1","0","32","0","0","0",""
"05605","Marion Fire Department","60 W Court ST","","Marion","NC","28752","","","PO Box 700","Marion","NC","28752-0700","828-652-5201","828-652-1680","McDowell","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.marionnc.org/166/Fire-Department","1","12","15","0","0","0","No"
"05803","Mars Hill Fire Department","56 N Main ST","","Mars Hill","NC","28754","","","PO Box 368","Mars Hill","NC","28754-0368","828-689-2022","828-689-5701","Madison","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://townofmarshill.org/fire.php","2","8","22","0","0","6","No"
"05802","Marshall Community Volunteer Fire Department Inc.","53 N Main ST","","Marshall","NC","28753","","","PO Box 849","Marshall","NC","28753-0849","828-649-2660","828-649-8099","Madison","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://marshallncfire.com/","1","1","20","0","0","0","No"
"02002","Martin's Creek Volunteer Fire Department","2299 Martins Creek RD","","Murphy","NC","28906","2299 Martins Creek RD","","","Murphy","NC","28906-2123","828-837-2787","","Cherokee","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","25","0","0","0","Yes"
"06014","Matthews Fire & Emergency Medical Services","236 S Trade ST","","Matthews","NC","28105","232 Matthews Station ST","","","Matthews","NC","28105-6713","704-847-9400","704-847-1229","Mecklenburg","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","6","30","0","0","0",""
"04007","Maury Volunteer Fire & Rescue Association, Inc.","3659 N Highway 903","","Maury","NC","28554","","","PO Box 217","Maury","NC","28554-0217","252-747-2170","252-747-2170","Greene","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","30","0","0","0","No"
"07904","Mayodan Fire Department","100 N Ayersville RD","","Mayodan","NC","27027","210 W Main ST","","","Mayodan","NC","27027-2706","336-427-5977","","Rockingham","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","0","22","0","0","No"
"05203","Maysville Fire and EMS inc.","404 Main ST","","Maysville","NC","28555","","","PO Box 304","Maysville","NC","28555-0304","910-743-2709","910-743-0400","Jones","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://maysvillefire.com/mvfd/","1","0","25","0","0","0","No"
"09707","McGrady Volunteer Fire Department","11461 Sparta RD","PO Box 87","McGrady","NC","28649-0087","11461 Sparta RD","","PO Box 87","McGrady","NC","28649-0087","336-670-3946","336-670-3946","Wilkes","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","27","0","0","0",""
"04114","McLeansville Fire Department","5326 Frieden Church RD","","Mc Leansville","NC","27301","","","PO Box 166","Mc Leansville","NC","27301-0166","336-698-0241","336-697-9359","Guilford","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","http://mclfd.org/wp/","3","17","30","0","0","0","No"
"09507","Meat Camp Volunteer Fire Department","4797 NC Highway 194 N","","Boone","NC","28607","4797 NC Highway 194 N","","","Boone","NC","28607-7297","828-264-3668","","Watauga","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","39","0","0","0","No"
"","Merck - Fire Brigade","5325 Old Oxford RD","","Durham","NC","27712","5325 Old Oxford RD","","","Durham","NC","27712-8730","919-884-4140","","Durham","Mostly volunteer","Private or industrial fire brigade","","1","12","20","0","0","0","No"
